"F_Id","F_UserId","F_UserName","F_Category","F_Type","F_Level","F_IPAddress","F_IPAddressName","F_RequestURL","F_RequestMethod","F_RequestDuration","F_Abstracts","F_Json","F_PlatForm","F_CreatorTime","F_ModuleId","F_ModuleName","F_ObjectId"
"bc10492811a944f7980bcb8f75426db2","048657c1-ecb1-4e5d-aced-6126ceae779e","於友绿/181001","5",,,"192.168.0.100",,"/api/WorkFlow/FlowEngine","GET","9",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36","23/3/2021 09:13:07",,,
"bc15189dc7284190b73c285c61d9aab8","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowEngine/d86b271883874701aae1f51e13fae782/FieldDataSelect","GET","3",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 06:54:16",,,
"bc1ee9094b1549898758cb681985c513","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/VisualDevelopment/Model/944cf200a7f847fca7a158379fcc1395/3da24d8d730b48af8add38a6a959c049/DataChange","GET","26",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:00:36",,,
"bc32a1c81b41429a833f1af3bbd76975","admin","管理员/admin","5",,,"192.168.0.81",,"/api/Permission/Users/All","GET","6",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:10:25",,,
"bc357a60509d4b579f44537a33ea95a8","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowBefore/Audit/b5936843e5d64fb8863e4f06d315e607","POST","30",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:30:19",,,
"bc726da1c5d34275bcd4bc47019a25e1","admin","管理员/admin","5",,,"192.168.0.81",,"/api/System/ModuleButton/4639fd4c267c48009f150f80cceb564c/List","GET","31",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:44:54",,,
"bc8136eaaffd45218a60f0c56002d89d","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/VisualDevelopment/Model/944cf200a7f847fca7a158379fcc1395/List","GET","45",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0","23/3/2021 06:44:46",,,
"bc945e21d0e94a4ca6b8561560397daa","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowEngine/830b1c26efeb4d229a951627871425bb","GET","1",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:06:28",,,
"bcac13d7ca0247dc880dfeff23d828bf","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/2df4611e63f843f8a48901931d7b0f4f","GET","12",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:05:58",,,
"bcad83dd989e469790e1cf09064fd57d","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/951718f1131144298be8d3384dbccd93","GET","9",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:29:53",,,
