"F_Id","F_ParentId","F_FullName","F_EnCode","F_Icon","F_UrlAddress","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_ModuleId"
"a7f3d5144bb24024a1c7973e6a0d365c","-1","导出","btn_download",,,,,"0","1","16/12/2020 06:54:15","admin",,,,,,"a4fc0d5620364bcfa93ab7223f56dd65"
"a8a6c05829ac4c30a4c0e67dcbe4aaea","-1","列表权限","btn_columnPer",,,,,"0","1","16/7/2020 09:27:34",,,,,,,"C9998351-03E7-449D-B911-666E83F8549E"
"acc2fca05b17426dac56b1104fa4f88d","-1","更多","btn_more",,,,,"0","1","17/11/2020 00:39:05","admin",,,,,,"85cd7bca426e49ce83a061bf461b1447"
"ad1a05c3a7fa45309b85efa6cf79bfa0","-1","导出","btn_download",,,,,"0","1","20/11/2020 06:54:29","admin","20/11/2020 07:52:41","admin",,,,"deeed3d0cf27412696f178fd8fc407a0"
"af3e763e78ee44ecbc6c3410e6f705fb","-1","删除","btn_remove",,,,,"0","1","28/6/2018 11:01:57","admin","2/11/2020 08:29:11","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"55c06bb3b2124b0c83d17c5ef82450f5"
"af4f63df5dac47bcb67f2047b2c6707a","-1","新建","btn_add",,,,,"0","1","16/7/2020 11:10:12",,,,,,,"564f7317aadb4a608bb45393f5498876"
"af917493337742e19af56e653761e47e","-1","新建任务","btn_add",,"/Views/PlatForm/TimeTask/Form.html",,,"0","1","13/12/2017 09:42:36","admin","2/11/2020 07:27:29","admin",,,,"1e27a0ad83e44c2a83a2a0954eb4f1cb"
"afaa3a4bc92940dc9b810eaeca374f25","acc2fca05b17426dac56b1104fa4f88d","预览","btn_preview",,,,,"0","1","17/11/2020 00:39:54","admin","14/1/2021 09:10:21","admin",,,,"85cd7bca426e49ce83a061bf461b1447"
"b510dd58ef3a4140ba2eb9986de93332","a8a6c05829ac4c30a4c0e67dcbe4aaea","列表权限-编辑","btn_columnPer_edit",,,,,"0","1","16/7/2020 09:34:40",,,,,,,"C9998351-03E7-449D-B911-666E83F8549E"
"b5c4ef34bee242d7ad245fcb5d150873","-1","删除","btn_remove",,,,,"0","1","29/11/2018 14:32:51","admin","2/11/2020 07:48:50","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"ef96d397af964fb7a4363c516270a4f4"
"b6c4f1c6e0c34af9a5546db6ea7dcccf","0bd56be2ebf74749bd033df265dd48c5","预览","btn_preview",,,,,"0","1","3/11/2020 01:56:35","03d159a3-0f88-424c-a24f-02f63855fe4f","14/1/2021 09:13:55","admin",,,,"232d7226f00446d882e1e1bd999f7b2d"
"b82c5e883802450894d187cf2b2130a2","-1","更多","btn_more",,,,,"0","1","14/11/2017 09:50:37","admin","2/11/2020 08:04:11","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"E5AA0952-44FB-4FB9-B888-C6B78EF96836"
"b8428175109b42ae850ade137c56236c","08512e176062401a9ef991d2b3912be6","分类列表-编辑","btn_type_edit",,,,,"0","1","16/7/2020 10:00:05",,,,,,,"3F1554C1-4F09-49E7-AC6A-06641BD246CD"
"bb2e71d990bd4b208de4194b56b06b9d","a0791ed1cb0347e380d62cdb23eb8cc6","按钮权限-编辑","btn_btnPer_edit",,,,,"0","1","16/7/2020 09:31:36",,,,,,,"C9998351-03E7-449D-B911-666E83F8549E"
"bb949de27bc141b99077b36428c10b0f","-1","编辑","btn_edit",,,,,"0","1","13/1/2021 02:12:32","admin",,,,,,"4b5cb2a3f6d4493cb017d06d9eacdadf"
"bd9e1cf58d484c41b0f473de2e39c81e","-1","编辑","btn_edit",,,,,"0","1","10/8/2020 22:50:02","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"c2122f82fc9c40fca0eb0392d7337e6b"
"bfb7d6d0db604fd2831da294e336dbd9","-1","新建","btn_add",,"/Views/Permission/User/Form.html",,,"0","1","19/10/2017 11:04:22",,"2/11/2020 08:06:01","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"4DDA6A84-A432-421C-9CE9-DB7A56033B02"
"bfbc41e586b843cbad893af22677c106","-1","编辑","btn_edit",,,,,"0","1","20/11/2020 06:47:49","admin",,,,,,"7e0216a209b94ab6973bbc1a766283d8"
"c03df2dbfa7948afb7ffcc5ed909a7f2","-1","新建表单","btn_add",,,,,"0","1","17/8/2020 03:28:00","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4","2/11/2020 06:02:36","admin",,,,"85cd7bca426e49ce83a061bf461b1447"
"c088ads5a4b738e98594e3dd6cd4f","-1","更多","btn_more",,,,,"0","1","21/8/2020 09:47:27","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"aad12c217ea047e0814c631c4784f489"
"c088b5e1a85a4b738e98594e3dd6cd4f","-1","更多","btn_more",,,,,"0","1","21/8/2020 09:47:27","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4","4/11/2020 06:14:16","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"f32e517a0a9e4cf7b2eb80a589a6da9d"
"c14814f3b31b4703a3291c8e939880aa","-1","删除","btn_remove",,,,,"0","1","28/6/2018 11:29:09","admin","2/11/2020 08:13:35","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"fe0150960dd542ec9328067e4495074b"
"c185e5fd1738448190861853316f53ef","-1","编辑","btn_edit","el-icon-edit",,,,"0","1","23/3/2021 07:47:01","admin",,,,,,"c7ded4ca6cf9402f97386051eaedd254"
"c62c57d58f5f45f095f6fb8b4d9e3785","4b52f375114d4b2ab3d1b4379c7d86f9","复制模板","btn_copy",,,,,"0","1","21/8/2020 10:02:31","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"8ee6ec6db2ac4a5e9b010100c7690798"
"c7c14737045a4e57955c4556264c92bb","-1","详情","btn_detail",,,,,"0","1","13/1/2021 09:15:25","admin",,,,,,"a76e7bd9de984e2caa185f061c9bf2b9"
"c82a62ea8a034436884e92675124beeb","-1","新建","btn_add",,,,,"0","1","6/8/2020 00:07:20","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"c2122f82fc9c40fca0eb0392d7337e6b"
"c8ec5732522d419298d2f83a8e3aa950","-1","新建","btn_add",,"/Views/Permission/Position/Form.html",,,"0","1","19/10/2017 10:51:26",,"2/11/2020 08:02:46","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"E5AA0952-44FB-4FB9-B888-C6B78EF96836"
"c9a7d165c8904921a2cf53c7cf5430a7","-1","详情","btn_detail",,,,,"0","1","10/12/2020 07:36:35","admin",,,,,,"e513dd3187de4d78a4d5396a9442f7e1"
"cb8e14ba266f4e32b59d0ea324c40de5","-1","删除","btn_remove",,,,,"0","1","12/8/2020 16:07:42",,,,,,,"c7159f97177b420d9fc8ec8c74ae541b"
"ccf68aadd66c4bc696a89e18b5e9f681","-1","删除","btn_remove",,,,,"0","1","2/11/2020 08:45:33","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,,,"15349f4c8b6e4ea697b522ffe0b7f360"
"cd2c4bef56ba4b7eba1ca2d76b4652d9","-1","删除","btn_remove",,,,,"0","1","28/6/2018 11:13:16","admin","22/5/2020 14:31:05","admin",,,,"8ee6ec6db2ac4a5e9b010100c7690798"
"d171d65a7f524092a4675da134374b06","5a00e50dadc64afbb4ab581c1a8e8ace","预览","btn_preview",,,,,"0","1","10/8/2020 23:20:15","00ca450b-141b-45d2-b6cb-94d818165543","18/1/2021 03:32:49","admin",,,,"c2122f82fc9c40fca0eb0392d7337e6b"
"d2d28302f1434f26a2ac288ee7e71372","-1","新增","btn_add",,,,,"0","1","13/1/2021 09:06:47","admin",,,,,,"7bcac6af09c64830a89a3d54487a03f1"
"d4693719a36e4b70ae8d554736d5635d","-1","删除","btn_remove",,,,,"0","1","28/12/2017 14:52:01","admin","2/11/2020 07:26:26","admin",,,,"97310591eada49f7920d73b554c59212"
"d575d269a7734d9aa305a4b3106dde10","-1","复制","btn_copy",,,,,"0","1","2/11/2020 06:36:16","admin",,,,,,"6bc2d4f16bad4e6897ba837a5c515f16"
"d68f6ac2cf314c6d9770a08af04671fc","c088b5e1a85a4b738e98594e3dd6cd4f","预览代码","btn_preview",,,,,"0","1","4/11/2020 07:47:13","03d159a3-0f88-424c-a24f-02f63855fe4f","6/11/2020 03:47:34","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"f32e517a0a9e4cf7b2eb80a589a6da9d"
"d6f6fa8a57ba4992b6c6d32920eccea1","-1","删除","btn_remove",,,,,"0","1","13/1/2021 09:15:25","admin",,,,,,"a76e7bd9de984e2caa185f061c9bf2b9"
"d89d5a4b949e4b4198085ab4d2bcaab5","-1","新建","btn_add",,"/Views/System/Dictionary/Form.html",,,"0","1","9/11/2017 13:53:03",,"2/11/2020 07:52:55","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"3F1554C1-4F09-49E7-AC6A-06641BD246CD"
"d97b28469dad42cba33e41dd8270c6eb","-1","新增","btn_add",,,,,"0","1","16/12/2020 06:54:15","admin",,,,,,"a4fc0d5620364bcfa93ab7223f56dd65"
"d98df0240d854729965b6ae405b93764","-1","编辑","btn_edit",,"/Views/System/Province/Form.html",,,"0","1","13/11/2018 14:49:24","admin","2/11/2020 07:45:01","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"7147a8c641534b3db0bad7c6852017f4"
"da7049a35bcf45168d7320c7dc0b1963","-1","下载","btn_download",,,,,"0","1","3/2/2018 14:33:29","admin","22/5/2020 14:17:16","admin",,,,"9A638D07-82BC-42CC-B6FB-DEE937CC6FE1"
"da930e4f66db469c850d6950b58c3765","2cd9210677544e96953512fd8df6837a","详情","btn_detail",,,,,"0","1","3/6/2019 21:21:25","admin","9/11/2020 01:13:42","admin",,,,"97310591eada49f7920d73b554c59212"
"db29870f82fc4e0eac4c8a3af3547402","-1","打开数据","btn_openData",,"/Views/PlatForm/DbTable/PreviewData.html",,,"0","1","7/9/2018 13:45:15","admin","2/11/2020 07:50:22","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"c50f18d0568244a5b85878050bbc5a40"
"dbcfb8c78a91486d9e1da30a4c01d961","c088ads5a4b738e98594e3dd6cd4f","预览代码","btn_preview",,,,,"0","1","4/11/2020 07:47:30","03d159a3-0f88-424c-a24f-02f63855fe4f","18/1/2021 03:21:24","admin",,,,"aad12c217ea047e0814c631c4784f489"
"dd567c40f7154013aaf6e1dd0e107bcd","-1","删除","btn_remove",,,,,"0","1","18/1/2021 05:44:26","admin",,,,,,"5b435fb056fa42d39c26e3b11829aa4d"
