"F_Id","F_EnCode","F_FullName","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LanguageTypeId","F_Language","F_SignKey"
"704c40f9ceed47e48fd6a7368ea5c3b3","22b8d3d289b2408e8ab59e3d37302542","重繪當前",,"181225144257797",,"25/12/2018 14:42:58","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.tabs-reloadCurrent"
"7440ac2db39143c48792b98cb63a3198","bd5137d5f3d740358f3f074ea0b0f9c7","#",,"181224174035757",,"19/8/2020 15:57:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.title"
"758a63f8b16147b695b65ac60cb44e88","3b06f54beb0740ccb26423d95642b6ff","#",,"181224175157363",,"24/12/2018 17:51:57","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.form-forgetPassword"
"7738508bdc8749bd9c833fdcb8bbec44","bd5137d5f3d740358f3f074ea0b0f9c7","111",,"181224174035757",,"19/8/2020 15:57:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","riben","login.title"
"7de99fd0eb9542df99c0ebaf788e8182","3e72ba7d20bb43e8b64bddf0d8f30353","#",,"181225143600770",,"25/12/2018 14:36:01","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.toggle-left"
"7e077886e05749c1a3e1465cc1eb5be4","0b80ccb43eb8415c8ba52b0abf4e4622","#",,"181225144818867",,"25/12/2018 14:48:19","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-news"
"837df9271f54464486c8435a0d948326","0b80ccb43eb8415c8ba52b0abf4e4622","消息",,"181225144818867",,"25/12/2018 14:48:19","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-news"
"87e1787267fc482589769c9b6bc18bc1","ac436a090a644050903050204e8b98b6","搜索：请输入关键字",,"181225150238687",,"25/12/2018 15:02:39","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-im-search"
"891f875ad41f4ce4a8dfa22cd9b50517","6ea7418bc25c46f3ad65aed51e9b2e11","皮肤设置",,"181225143906967",,"25/12/2018 14:38:34","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.user-skin"
"8b685142fa16443d806e2073f322b367","ed6299fb81234510a6cec3b05f8490cf","1",,"20200520170656486",,"20/5/2020 17:06:56","admin",,,,,,"apply","zh-TW","1"
"8bca57d908f742da8f646ace0cbad37c","f9cfa343a4a44008b2a458fb9a37fb34","關閉其他",,"181225144343387",,"25/12/2018 14:43:43","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.tabs-closeOther"
"8c33c525dce04b4dae5157bcac5998e5","76bdfc0862ec46acae7a1bf6a8a5fed3","退出系统",,"181225144041067",,"25/12/2018 14:40:41","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.user-logout"
"8dbf61c60a474b02831acef8ffad5c84","ed53b4a4f19d4f418dda8a8f0ee46a93","#",,"181224174714957",,"24/12/2018 17:47:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.form-password"
"924e0a2db9ac4da98ca7945e65b79f05","3b06f54beb0740ccb26423d95642b6ff","忘记密码",,"181224175157363",,"24/12/2018 17:51:57","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.form-forgetPassword"
"9368d4e015e24dea95872216e28be9a5","7f58aac7a50b41bfba5199fd40d9e7ba","登录  / Sign in",,"181224174547963",,"5/8/2020 13:49:38","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.form-title"
"93c7a880b9f645be8cc0a6d562605078","9bfa6b5167954fd2b34ecc02a374cd9d","全部已读",,"181225150052970",,"25/12/2018 15:00:53","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-news-btn-allRead"
"9551d83dedc7486280920eec66b19bbf","c72ac6114ddb4e18b25b7dd5969dc854","软件开发平台 - 产品体验",,"181225142624377",,"25/12/2018 14:26:24","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.title"
"993dc879d836451b94352928cf60b04e","f7aecef41d424c7393db58e30fdd777d","#",,"181225144704363",,"25/12/2018 14:47:04","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-search"
"9b5af54b0ffa45beb524e7cbb8f8bd73","ac436a090a644050903050204e8b98b6","蒐索：請輸入關鍵字",,"181225150238687",,"25/12/2018 15:02:39","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.topnav-im-search"
"9bf72e1041c640a3ad290e49f612ef68","1ff0af200b81414bb79a1b5ee911b655","JNPF軟體發展平臺",,"181224174223600",,"24/12/2018 17:42:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.logo-text"
"a0a2dba547094db48f3998a1d86dbdc0","28747f0a373e419a9c8cfa359072470f","#",,"181225150126780",,"25/12/2018 15:01:27","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-news-btn-record"
"a1c7b52696564f658b885b5b0ddf542c","9bfa6b5167954fd2b34ecc02a374cd9d","#",,"181225150052970",,"25/12/2018 15:00:53","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-news-btn-allRead"
"a20ef3a4837549b99b83ea3824b89dd8","1cb5d30356f1490c8eb08f698392a2b7","#",,"181224174144120",,"5/8/2020 13:49:33","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.noscript"
"a2b26e4d9e274fd78e612a6f2047b5aa","f7aecef41d424c7393db58e30fdd777d","搜索",,"181225144704363",,"25/12/2018 14:47:04","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-search"
"a315765d7cc74f69bbce1b6bee776ba5","7f58aac7a50b41bfba5199fd40d9e7ba","Sign in",,"181224174547963",,"5/8/2020 13:49:38","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.form-title"
"a3b8be2535b34e8486734221be2bd2f5","1ff0af200b81414bb79a1b5ee911b655","JNPF软件开发平台",,"181224174223600",,"24/12/2018 17:42:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.logo-text"
"a4a56a899c7b497e94737b0fdf6cb025","fa514f4706ed48c99b1ee66337ea4315","聊天",,"181225144955317",,"25/12/2018 14:49:55","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-im"
"a4e578166f6f4b16b016b7e6bf131f64","5f315204e9ef47508752f89d362940e9","#",,"181224174948493",,"24/12/2018 17:49:48","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.form-img-title"
"a74a97cc86114373ad7a5d32d8b0e3e4","3e72ba7d20bb43e8b64bddf0d8f30353","收起導航",,"181225143600770",,"25/12/2018 14:36:01","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.toggle-left"
"a86108354a12490680feb36b557d3408","25854e258fa641a287a89728b1b5e086","#",,"181225150340903",,"25/12/2018 15:03:41","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-search-placeholder"
