"F_Id","F_ParentId","F_Type","F_FullName","F_EnCode","F_UrlAddress","F_IsButtonAuthorize","F_IsColumnAuthorize","F_IsDataAuthorize","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LinkTarget","F_Category","F_Icon"
"9193163d20604861b13193d24bcb7b0c","E7443869-AFAD-4597-9B12-CD182369DF3C","1","数据应用","systemData",,"0","0","0","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"28","1","18/8/2020 09:38:31","admin","21/1/2021 01:56:05","admin",,,,"_self","Web","icon-ym icon-ym-dataApplication"
"919e37b2a46d48d8a54152cd6e50627d","8e31faee685446e28b1eb77cb871cae2","3","库房管理","kufang","model/kufang","1","1","1","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""447cb92e35af40daabdbfdb242240f72""}",,"0","1","23/3/2021 08:14:02","admin",,,,,,"_self","Web","icon-ym icon-ym-tree-normal1"
"95160c525bd44caa9a5ea6170c052f86","ef0a18227f5c44bf810e793ca91ed796","5","横向多片交叉","hengxiang","DataReport/hengxiang","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""8b45326de0b342b6b5a3a5776585b35e""}",,"0","1","6/11/2020 09:15:51","admin","20/11/2020 06:39:39","admin",,,,"_self","Web","icon-ym icon-ym-reportExample1"
"95e276c7abf44476b888fda46989756c","6a36b5be00c74a5a8eadf9aca216ce8e","2","E-折柱混合图","extend.graphDemo.echartsLineBar","extend/graphDemo/echartsLineBar","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"87","1","29/11/2020 14:19:44","admin","21/1/2021 02:20:45","admin",,,,"_self","Web","icon-ym icon-ym-echartsLineBar"
"968f981b95f24b3b9091243cb80e3510","6a36b5be00c74a5a8eadf9aca216ce8e","2","H-仪表图","extend.graphDemo.highchartsGauge","extend/graphDemo/highchartsGauge","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"94","1","29/11/2020 14:19:44","admin","21/1/2021 02:21:40","admin",,,,"_self","Web","icon-ym icon-ym-highchartsGauge"
"97310591eada49f7920d73b554c59212","E7443869-AFAD-4597-9B12-CD182369DF3C","2","系统公告","system.notice","system/notice","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","系统通知/公告","19","1","28/12/2017 11:12:45","admin","21/1/2021 01:29:02","admin",,,,"_self","Web","icon-ym icon-ym-sysNotice"
"980ce1bf11b24edcbbaafc43d30d64c2","6a36b5be00c74a5a8eadf9aca216ce8e","2","H-子弹图","extend.graphDemo.highchartsBullet","extend/graphDemo/highchartsBullet","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"97","1","29/11/2020 14:19:44","admin","21/1/2021 02:22:02","admin",,,,"_self","Web","icon-ym icon-ym-highchartsBullet"
"98ffb44767534fcea4751eef9cc726f4","89524f3808b843eab437ca68e7845151","6","数据大屏管理驾驶舱","big1","DataV/big1","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""6c2c820a2a704292bedf635dcaa9c3d8""}",,"0","1","30/9/2020 07:14:47","048657c1-ecb1-4e5d-aced-6126ceae779e","25/12/2020 02:24:59","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"_blank","Web","icon-ym icon-ym-wf-batchTable"
"9A638D07-82BC-42CC-B6FB-DEE937CC6FE1","9193163d20604861b13193d24bcb7b0c","2","数据备份","systemData.dataBackup","systemData/dataBackup","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","数据库备份","31","1","28/9/2017 15:43:21",,"21/1/2021 01:57:17","admin","0",,,"_self","Web","icon-ym icon-ym-dataBackup"
"9b17839e49d54f3f899e30ce1de699ca","ef0a18227f5c44bf810e793ca91ed796","5","用户列表","yonghu","DataReport/yonghu","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""d248cc4b68cd40fd94a27212593c5f5b""}",,"0","1","30/12/2020 12:25:24","admin",,,,,,"_self","Web","icon-ym icon-ym-file-video"
"9ee747a2b2a34b8b805bb08b8960eb9c","6a36b5be00c74a5a8eadf9aca216ce8e","2","H-漏斗图","extend.graphDemo.highchartsFunnel","extend/graphDemo/highchartsFunnel","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"96","1","29/11/2020 14:19:44","admin","21/1/2021 02:21:54","admin",,,,"_self","Web","icon-ym icon-ym-highchartsFunnel"
"A62AB009-57F1-4FF5-9198-B31F17E88231","3899D622-578E-4149-B2B4-C8EBD9DA3FDB","2","在线用户","permission.userOnline","permission/userOnline","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"52","1","28/9/2017 15:43:25",,"21/1/2021 02:07:14","admin","0",,,"_self","Web","icon-ym icon-ym-onlineUser"
"a8a67a231b924cf88981b61359179d06","5a45f2ff9d0845b2b80bc11f7f7861cf","2","已办事宜","workFlow.flowDone","workFlow/flowDone","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"56","1","7/12/2019 17:39:42","admin","19/8/2020 09:50:35","03812269-e6db-4c36-96aa-4cc81e3d11f3",,,,"_self","Web","icon-ym icon-ym-flowDone"
"aa12ebbd21d644b0bc8e77cf5abaed27","19057834dec24f3dba5d81d0c374abea","2","公众号素材","weChat.mpMaterial","weChat/mpMaterial","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","图文素材库","41","1","27/7/2018 17:09:44","admin","21/1/2021 02:00:28","admin",,,,"_self","Web","icon-ym icon-ym-mpMaterial"
