"F_Id","F_ParentId","F_FullName","F_EnCode","F_SimpleSpelling","F_IsDefault","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_DictionaryTypeId"
"2602c057c8ee4cc78857465379d6c822","1cff2b60fd7a4c9f82273163b956268c","合同管理","contractManage","HTGL",,,"0","1","21/9/2020 02:01:07","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"1cff2b60fd7a4c9f82273163b956268c"
"26f5cd7cd65b49548043bcdd72d3afdf","4173579c31e74a2b8749e65a23e5c957","合同管理","contractManage","HTGL",,,"0","1","21/9/2020 01:59:12","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"4173579c31e74a2b8749e65a23e5c957"
"2716A909-1CAC-4A72-8749-28206D3326E0","d9b969ed-9122-4861-9035-c631acf99378","电影院","电影院","DYY",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"2745E89F-AA85-49EB-943C-9037D7B73535","0fcc751d-9ceb-4767-8755-f0189b239468","家具/家居","家具/家居","JJJJ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"27c38cf2-dc0a-4449-ab87-7eb68f7e425b","0","教育/出国","教育/出国","JYCG",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"27d8cf5a-22e8-4e05-b4d6-5684a564418a","0","计算机/互联网","计算机/互联网","JSJHLW",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"27efd59ba0ff484e88a528b8dc678cdf","573c31998bc04a23a769f9a9eff67d00","仓库管理","warehouseManagement","CKGL",,,"0","1","21/9/2020 01:58:26","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"573c31998bc04a23a769f9a9eff67d00"
"2831f140de934c0fafc1188e2c387a8d","0","行政管理","8","XZGL,HZGL",,,"0","1","16/5/2020 17:04:43","admin","16/5/2020 17:06:10","admin",,,,"e0bfb7f7a3054e65949ca0f7c136d717"
"2835dcf61cf04a0e97bc4b117b08e3cb","0","哈尼族","哈尼族","HNZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"2876ae29ce5d4a41baa007f2977cfc85","0","默认角色","DefaultRole","MRJS",,,"0","1","27/10/2017 10:24:01",,"20/1/2018 14:55:11","admin",,,,"4501f6f26a384757bce12d4c4b03342c"
"287ac847ef2a4f4b9198300477e8c4d9","0","毛南族","毛南族","MNZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"28C182AE-BCD2-48DA-97FC-C45383A58C68","4d885793-2fbd-49ce-9b0e-aa709a71b2d0","农家乐/度假村","农家乐/度假村","NJYDJC,NJLDJC",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"2a3fa24dcace4a7aafeddb3d8c0ec65a","0","个体户","5","GTH",,,"0","1","25/10/2017 14:36:21",,"26/10/2017 17:14:22",,,,,"9b542177a477488994ce09fff3c93901"
"2aa6c64c8875401fa2ab862e3ac6f0e2","0","鄂温克族","鄂温克族","EWKZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"2af8606d2e184e29a287b2774aa6d46a","0","季度结算","Quarterlyknot","JDJS",,,"0","1","10/7/2018 10:24:19","admin","10/7/2018 10:54:05","admin",,,,"1143c18426014419a35aa1fa97685c9c"
"2b4dc588eb8f4c83b4dc7d70deb317dc","0","报表","5","BB",,,"4","1","5/8/2020 15:23:19","00ca450b-141b-45d2-b6cb-94d818165543","22/1/2021 11:49:41","admin",,,,"e3ca5fe13c484a74bf0a4ea69eec1afd"
"2cd25306b6ed4fd4ad641c500d7205f9","02ad722fd1914c338d51597236ad2339","项目管理","2","XMGL",,,"2","1","6/11/2020 06:01:00","admin","6/11/2020 06:01:35","admin",,,,"02ad722fd1914c338d51597236ad2339"
"2d55ff7e76334ab383bc05a859578d88","42b0f46122b041d097f1fe4f2f637a03","功能流程","2","GNLC",,,"0","1","10/8/2020 18:59:22","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"42b0f46122b041d097f1fe4f2f637a03"
"2f978088acb4432593bf5a37257b19a2","c7e90b2ceaa647159490f7637f907290","文化传媒","文化传媒","WHZM,WHCM",,,"0","1","16/12/2019 17:54:55","admin","19/9/2020 10:19:56","00ca450b-141b-45d2-b6cb-94d818165543",,,,"c7e90b2ceaa647159490f7637f907290"
"2FD33FE4-D636-4BC0-8A66-984D71387428","27c38cf2-dc0a-4449-ab87-7eb68f7e425b","职业培训/企业管理","职业培训/企业管理","ZYPXQYGL",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"2FE19FDC-6308-441D-A10A-C1B2E33FBE87","614ecab4-845f-4cbc-9ff7-a9968aca6eeb","电子/IC/集成电路","电子/IC/集成电路","DZJCDL",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"3002b702b8b44e979087821c7b3f2c20","b1474890faaa47e1858ce7b593c8ffd7","销售管理","saleManage","XSGL",,,"0","1","21/9/2020 02:23:04","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"b1474890faaa47e1858ce7b593c8ffd7"
"30177502e07d479ca6825121716639d9","0","@wo","@wo.cn",,,"沃邮箱","0","1","30/11/2018 11:32:20","admin",,,,,,"55d7666d74df4bb4b36aed08a3a5bad1"
"30be5ef4e3074dd89385ad6b4540c63d","9c43287481364d348c0ea0d0f64b38be","默认","1","MR",,,"0","1","4/8/2020 14:45:15","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"9c43287481364d348c0ea0d0f64b38be"
"31a6e874c82045c9aa598508d58ea586","0","工勤岗位","3","GQGW",,"工勤岗位指承担技能操作和维护、后勤保障、服务等职责的工作岗位","0","1","26/10/2017 13:29:25",,"26/10/2017 17:14:36",,,,,"dae93f2fd7cd4df999d32f8750fa6a1e"
"3206B717-97FC-4249-8AAA-4743992C7538","c6edee1e-ae57-4b1e-84e5-4837e24978b8","行业组织","行业组织","XYZZ,HYZZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"33311B5D-5566-4E8B-A367-5BB23D32553B","27d8cf5a-22e8-4e05-b4d6-5684a564418a","计算机硬件","计算机硬件","JSJYJ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"33859881-6714-470C-9CAC-F2B4C34FB0A9","44338471-6e77-4dd0-899d-ea0355c03277","中式美食","中式美食","ZSMS",,,"0","1","24/10/2017 16:00:36",,"29/5/2020 08:56:38","admin",,,,"d59a3cf65f9847dbb08be449e3feae16"
"33A0777B-51C0-4A71-B99F-2CBB081FF93F","44338471-6e77-4dd0-899d-ea0355c03277","小吃快餐","小吃快餐","XCKC",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"33cf9894fe3f415086796946acde9a21","0","怒族","怒族","NZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"343165982f9d4cef80cc11f98c9b3b03","0","@188","@188.com",,,"财富邮","0","1","30/11/2018 11:34:53","admin",,,,,,"55d7666d74df4bb4b36aed08a3a5bad1"
"3547c4e289194e92854fec4cd84836b2","0","小学","1","XX","0",,"0","1","24/10/2017 16:00:35",,"5/8/2020 14:21:57","1a2b0254-8862-4525-ab4f-444df590b2b8",,,,"6a6d6fb541b742fbae7e8888528baa16"
"355f047f3e7540b8b55b168eec41ea5a","0","@139","@139.com",,,"中国移动","0","1","30/11/2018 11:19:56","admin","30/11/2018 11:33:48","admin",,,,"55d7666d74df4bb4b36aed08a3a5bad1"
"3676319f3e0b444e9f754a1691de696c","0","侗族","侗族","TZ,DZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"367dab9c9b6640c6b24b1ec94bfbdeea","0","大屏","6","DP",,,"5","1","5/8/2020 15:23:28","00ca450b-141b-45d2-b6cb-94d818165543","22/1/2021 11:49:48","admin",,,,"e3ca5fe13c484a74bf0a4ea69eec1afd"
"3722d977cbb54806abe2fed651547d01","0","月结","Monthlyknot","YJ",,,"0","1","10/7/2018 10:23:49","admin",,,,,,"1143c18426014419a35aa1fa97685c9c"
"37bf7db5a5c94dc6a3485ccccb1c6447","0","瑶族","瑶族","YZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"38B8C27D-7AEF-4B30-95A6-7B3472E12F99","7d7dd051-6e57-499b-ac88-c019d7c663da","医疗/护理/卫生","医疗/护理/卫生","YLHLWS",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"38ca86c845244584ba8c77565d695eb7","4173579c31e74a2b8749e65a23e5c957","行政管理","administrationManage","XZGL",,,"0","1","21/9/2020 01:59:39","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"4173579c31e74a2b8749e65a23e5c957"
"39AEC832-D76F-4635-AF3C-1F249C22010B","8e63a940-4e88-461f-b80d-fd3db065bfef","宠物","宠物","CW",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"3b6c150a092e44bda357cfb1a0d51461","0","水族","水族","SZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"3d1f4cf346524fdcbdee0b523b006eae","0","@yeah","@yeah.net",,,"网易免费邮箱","0","1","30/11/2018 11:24:10","admin",,,,,,"55d7666d74df4bb4b36aed08a3a5bad1"
"3d25701d11764ed6b6b81e163b767e96","037ba904515348eaad1c4bd462fc80a6","人事管理","personnelManage","RSGL",,,"0","1","21/9/2020 02:02:43","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"037ba904515348eaad1c4bd462fc80a6"
"3eb5283bd3d544459f94acb7c36971e3","65e7917344fa460e8c487e45bbbab26f","默认","1","MR",,,"0","1","4/8/2020 14:46:24","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"65e7917344fa460e8c487e45bbbab26f"
"3f626c31a97b48a7934603665ab22533","0","一年结算","Oneyear'sknot","YNJS",,,"0","1","10/7/2018 10:25:32","admin","10/7/2018 10:54:21","admin",,,,"1143c18426014419a35aa1fa97685c9c"
"3F9F5BF6-99B8-4342-933A-5A36528D9A3D","4d885793-2fbd-49ce-9b0e-aa709a71b2d0","户外/拓展","户外/拓展","HWTZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"40472c04faa9498bba7b4e11851cf6df","0","彝族","彝族","YZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"4307b5cd9b7545faac4f927bd091e48f","7866376d5f694d4d851c7164bd00ebfc","台胞证","6","TBZ",,,"0","1","8/8/2020 15:34:47","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"7866376d5f694d4d851c7164bd00ebfc"
"43347e3055f2498d83e7201be5a243f8","0","门巴族","门巴族","MBZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"43495503d3404a7d95d46c31a0926298","0","资产管理","9","ZCGL",,,"0","1","16/5/2020 17:04:50","admin","16/5/2020 17:06:15","admin",,,,"e0bfb7f7a3054e65949ca0f7c136d717"
"43f84fba72c14c9ea27a126d2c885fac","b1474890faaa47e1858ce7b593c8ffd7","日常工作","routine","RCGZ",,,"0","1","21/9/2020 02:22:33","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"b1474890faaa47e1858ce7b593c8ffd7"
"44338471-6e77-4dd0-899d-ea0355c03277","0","美食餐饮","美食餐饮","MSCY",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"449a4fbe9f274e2d89e4b54b2db61237","02ad722fd1914c338d51597236ad2339","集团门户","1","JTMH",,,"1","1","6/11/2020 05:58:28","admin","6/11/2020 06:01:18","admin",,,,"02ad722fd1914c338d51597236ad2339"
"44D8F7B7-3BD7-4C0E-B694-0191E49568E8","c6edee1e-ae57-4b1e-84e5-4837e24978b8","非赢利性组织","非赢利性组织","FYLXZZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"460494d45135470098d86ec750ac3eb9","0","线上注册","线上注册","XSZC",,,"0","1","16/12/2019 17:52:37","admin",,,,,,"c9f32bb4eef748998ed57280fe100fb7"
"4761028a4baa4b27a20bcc6371a7908f","573c31998bc04a23a769f9a9eff67d00","费用相关","costRelated","FYXG",,,"0","1","21/9/2020 01:57:29","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"573c31998bc04a23a769f9a9eff67d00"
"48EA619A-6B6C-4185-9C9E-67A0AE4D15CF","44338471-6e77-4dd0-899d-ea0355c03277","甜品饮品","甜品饮品","TPYP",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"49d97d47a68e4787b8e46ae41fc2e9fa","0","高山族","高山族","GSZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"49edcc083777443b92fe87bc4fa7b7e6","7866376d5f694d4d851c7164bd00ebfc","军人证","4","JRZ",,,"0","1","8/8/2020 15:34:05","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"7866376d5f694d4d851c7164bd00ebfc"
"4a2edd85a2fb4ddc900d007b63184ac9","4173579c31e74a2b8749e65a23e5c957","人事管理","personnelManage","RSGL",,,"0","1","21/9/2020 01:58:48","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"4173579c31e74a2b8749e65a23e5c957"
"4A2F85F0-C2CD-4F90-83CF-06ABD9A1975C","614ecab4-845f-4cbc-9ff7-a9968aca6eeb","工程机械/行业设备/仪器仪表","工程机械/行业设备/仪器仪表","GCJXXYSBYQYB,GCJXHYSBYQYB",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"4a6910aae94e47a989eec9f65992d486","0","页面","2","YM",,,"1","1","5/8/2020 15:22:49","00ca450b-141b-45d2-b6cb-94d818165543","22/1/2021 11:48:59","admin",,,,"e3ca5fe13c484a74bf0a4ea69eec1afd"
"4B00983C-2994-446C-9D4D-8C7D20624D0A","8e63a940-4e88-461f-b80d-fd3db065bfef","婚庆摄影","婚庆摄影","HQSY",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
