"F_Id","F_ItemType","F_ItemId","F_ObjectType","F_ObjectId","F_SortCode","F_CreatorTime","F_CreatorUserId"
"5f20d1253d9d48c99383818ac3816b68","column","d2297bf3cc1349018472ecf6ed8776ea","Role","d2b2418a2f664c61abf0053ff5d57783","615","20/1/2021 14:17:51","admin"
"5f306c3e243740289a9e2f83e2f57e6e","button","fb2f57633abb47a894d1397b9c1b34aa","Role","d2b2418a2f664c61abf0053ff5d57783","11","20/1/2021 14:17:51","admin"
"5f3cb113f0bb4fab8326d3463e2ef8b7","button","33e7d1fd7d2c4d19b273c58de5858b63","Role","d2b2418a2f664c61abf0053ff5d57783","25","20/1/2021 14:17:51","admin"
"5f432fa1c17a476b8f7f1ea7be60b233","button","f02a4ba75ed84aecbde1d2577a063c34","Role","94e3a9bb0fce4547886972998fddba1c","258","15/1/2021 15:34:45","admin"
"5f485d7a1e66481ea269f91772d4d578","column","5c37f113ffff4faeb8fbe3044ba97bb6","Role","9126c0cbbb954b84a856cc6f97617925","15","22/1/2021 11:00:36","admin"
"5f5883ec96e7422eb5ed6d8f86511f53","column","2c2b322ce310493399e65c2450674f7e","Role","d2b2418a2f664c61abf0053ff5d57783","569","20/1/2021 14:17:51","admin"
"5f5924a333dd485fac42e221c57b0abf","button","54acf8ec3bc64603913c31c14b4bdaca","Role","d2b2418a2f664c61abf0053ff5d57783","285","20/1/2021 14:17:51","admin"
"5fa2204635b445cd8a18eb1ed0e1c213","column","549c5a6f1c53414bb2306348caa42855","Role","94e3a9bb0fce4547886972998fddba1c","528","15/1/2021 15:34:45","admin"
"5fceb64b8fb344f5a25b7a7e8efc0216","column","078b12c528524659938220b85733d83f","Role","94e3a9bb0fce4547886972998fddba1c","557","15/1/2021 15:34:45","admin"
"5fd1494f27f3497185395a3bb7c1ff74","column","76b625ab78f944459653593c1b0716b2","Role","347307624a3b423b81d5cd5433a11b5d","48","4/11/2020 16:02:46","admin"
"60219b09aed54c38808d8d0d3a3fe58f","resource","854702f9d9c1413f8fe8c66bac8b726c","Role","d2b2418a2f664c61abf0053ff5d57783","883","20/1/2021 14:17:51","admin"
"6021a4e597d94a38b62d365f768f80be","module","54acf8ec3bc64603913c31c14b4bdaca","Role","6c3f9f53e1824ed597d4a6349fadd869","56","4/11/2020 15:56:07","03d159a3-0f88-424c-a24f-02f63855fe4f"
"60583ead3da846e992d1d7d3826439f3","button","d171d65a7f524092a4675da134374b06","Role","94e3a9bb0fce4547886972998fddba1c","158","15/1/2021 15:34:45","admin"
"607dd183d066455c832ab2af5628af9e","button","a0791ed1cb0347e380d62cdb23eb8cc6","Role","d2b2418a2f664c61abf0053ff5d57783","99","20/1/2021 14:17:51","admin"
"60af8b84166d4e96870b45dda766d0ed","button","2cd9210677544e96953512fd8df6837a","Role","94e3a9bb0fce4547886972998fddba1c","110","15/1/2021 15:34:45","admin"
